"","date","depth","mean_do"
"483",2020-01-12,5.5,10.565640625
"484",2020-01-12,6,10.6678125
"485",2020-01-12,6.5,10.23928385425
"486",2020-01-12,7,9.8107552085
"487",2020-01-12,7.5,9.38222656275
"488",2020-01-12,8,8.953697917
"489",2020-01-12,8.5,9.34569010525
"490",2020-01-12,9,9.7376822935
"491",2020-01-12,9.5,10.12967448175
"492",2020-01-12,10,10.52166667
"493",2020-01-12,10.5,10.17511458575
"494",2020-01-12,11,9.8285625015
"495",2020-01-12,11.5,9.48201041725
"496",2020-01-12,12,9.135458333
"497",2020-01-12,12.5,9.313208333
"498",2020-01-12,13,9.490958333
"499",2020-01-12,13.5,9.668708333
"500",2020-01-12,14,9.846458333
"501",2020-01-12,14.5,9.61603906225
"502",2020-01-12,15,9.3856197915
"503",2020-01-12,15.5,9.15520052075
"504",2020-01-12,16,8.92478125
"505",2020-01-12,16.5,8.47021875
"506",2020-01-12,17,8.01565625
"507",2020-01-12,17.5,7.56109375
"508",2020-01-12,18,7.10653125
"509",2020-01-12,18.5,6.48877604175
"510",2020-01-12,19,5.8710208335
"511",2020-01-12,19.5,5.25326562525
"512",2020-01-12,20,4.635510417
"513",2020-01-12,20.5,3.4924895835
"514",2020-01-12,21,2.34946875
"515",2020-01-12,21.5,1.2064479165
"516",2020-01-12,22,0.063427083
"517",2020-01-13,1,11.2222222222222
"518",2020-01-13,1.5,11.0177777777778
"519",2020-01-13,2,10.8133333333333
"520",2020-01-13,2.5,10.7136238425556
"521",2020-01-13,3,10.6139143517778
"522",2020-01-13,3.5,10.514204861
"523",2020-01-13,4,10.38114583
"524",2020-01-13,4.5,10.46611979
"525",2020-01-13,5,10.55109375
"526",2020-01-13,5.5,10.63606771
"527",2020-01-13,6,10.72104167
"528",2020-01-13,6.5,10.31153385675
"529",2020-01-13,7,9.9020260435
"530",2020-01-13,7.5,9.49251823025
"531",2020-01-13,8,9.083010417
"532",2020-01-13,8.5,9.44759635525
"533",2020-01-13,9,9.8121822935
"534",2020-01-13,9.5,10.17676823175
"535",2020-01-13,10,10.54135417
"536",2020-01-13,10.5,10.20374219
"537",2020-01-13,11,9.86613021
"538",2020-01-13,11.5,9.52851823
"539",2020-01-13,12,9.19090625
"540",2020-01-13,12.5,9.32291927075
"541",2020-01-13,13,9.4549322915
"542",2020-01-13,13.5,9.58694531225
"543",2020-01-13,14,9.718958333
"544",2020-01-13,14.5,9.5874661455
"545",2020-01-13,15,9.455973958
"546",2020-01-13,15.5,9.3244817705
"547",2020-01-13,16,9.192989583
"548",2020-01-13,16.5,8.72237499975
"549",2020-01-13,17,8.2517604165
"550",2020-01-13,17.5,7.78114583325
"551",2020-01-13,18,7.31053125
"552",2020-01-13,18.5,6.68335677075
"553",2020-01-13,19,6.0561822915
"554",2020-01-13,19.5,5.42900781225
"555",2020-01-13,20,4.801833333
"556",2020-01-13,20.5,3.6172942705
"557",2020-01-13,21,2.432755208
"558",2020-01-13,21.5,1.2482161455
"559",2020-01-13,22,0.063677083
"560",2020-01-14,1,11.1907407407407
"561",2020-01-14,1.5,10.9859259259259
"562",2020-01-14,2,10.7811111111111
"563",2020-01-14,2.5,10.6796784336019
"564",2020-01-14,3,10.5782457560926
"565",2020-01-14,3.5,10.4768130785833
"566",2020-01-14,4,10.09098958
"567",2020-01-14,4.5,10.2339973925
"568",2020-01-14,5,10.377005205
"569",2020-01-14,5.5,10.5200130175
"570",2020-01-14,6,10.66302083
"571",2020-01-14,6.5,10.25407291425
"572",2020-01-14,7,9.8451249985
"573",2020-01-14,7.5,9.43617708275
"574",2020-01-14,8,9.027229167
